GEOID10,obj
390599772003104,0.0
390599772003105,0.0
390599772003106,0.0
390599772003107,16.0
390599772003111,0.0
390599772003112,0.0
390599772003113,0.0
390599772003114,0.0
390599772003115,0.0
390599772003116,0.0
390599772003117,0.0
390599772003118,0.0
390599772003119,0.0
390599772003120,0.0
390599772003122,0.0
390599772004001,0.0
390599772004002,0.0
390599772004003,0.0
390599772004004,0.0
390599772004005,0.0
390599772004006,0.0
390599772004007,4.0
390599772004008,0.0
390599772004009,0.0
390599772004010,0.0
390599772004011,0.0
390599772004012,0.0
390599772004013,0.0
390599772004014,0.0
390599772004015,0.0
390599772004016,0.0
390599772004017,0.0
390599772004018,0.0
390599772004019,0.0
390599772004020,0.0
390599772004021,0.0
390599772004022,0.0
390599772004023,0.0
390599772004024,0.0
390599772004025,4.0
390599772004026,0.0
390599772004027,0.0
390599772004028,0.0
390599772004029,0.0
390599772004030,0.0
390599772004031,0.0
390599772004032,0.0
390599772004033,0.0
390599772004034,0.0
390599772004035,0.0
390599772004036,0.0
390599772004037,0.0
390599772004038,0.0
390599772004039,0.0
390599772004040,0.0
390599772004041,0.0
390599772004042,0.0
390599772004043,0.0
390599772004044,0.0
390599772004045,14.0
390599772004046,0.0
390599772004047,0.0
390599772004057,9.0
390599772004058,0.0
390599772004082,0.0
390599772004083,0.0
390599772004084,0.0
390599772004085,0.0
390599772004086,0.0
390599772004087,14.0
390599772004088,0.0
390599772004089,0.0
390599772004090,0.0
390599772004091,0.0
390599772004092,0.0
390599772004093,0.0
390599772004094,0.0
390599772004095,0.0
390599772004096,0.0
390599772004097,0.0
390599772004098,0.0
390599772004099,0.0
390599772004100,0.0
390599772004101,0.0
390599772004102,0.0
390599772004103,0.0
390599772004104,0.0
390599772004105,0.0
390599772004113,0.0
390599772004114,0.0
390599772004115,0.0
390599772004117,0.0
390599772004118,0.0
390599772004119,0.0
390599772004122,0.0
390599772004123,0.0
390599772004124,0.0
390599772004125,0.0
390599772004126,0.0
390599772004127,21.0
390599772004130,0.0
390599772004131,0.0
390599772004161,0.0
390599773001002,0.0
390599773001003,0.0
390599773001004,3.0
390599773001005,116.0
390599773001006,0.0
390599773001007,0.0
390599773001008,0.0
390599773001009,0.0
390599773001010,0.0
390599773001053,4.0
390599773001054,0.0
390599773001055,0.0
390599773001056,0.0
390599773001057,0.0
390599773002140,0.0
390599773002141,0.0
390599773002142,0.0
390599773002143,0.0
390599774001011,0.0
390599774001059,0.0
390599774001060,0.0
390599780001060,0.0
390599780001061,0.0
390599780001062,0.0
390599780001063,0.0
390599780002000,0.0
390599780002001,0.0
390599773001011,10.0
390599773001013,0.0
390599773001017,0.0
390599773001019,0.0
390599773001025,4.0
390599773001028,0.0
390599773001041,50.0
390599773001043,0.0
390599773001046,22.0
390599773001047,0.0
390599773001048,0.0
390599773002000,0.0
390599773002001,0.0
390599773002002,4.0
390599773002003,0.0
390599773002004,0.0
390599773002005,0.0
390599773002006,0.0
390599773002007,0.0
390599773002008,0.0
390599773002009,0.0
390599773002011,0.0
390599773002012,0.0
390599773002013,0.0
390599773002014,0.0
390599773002015,0.0
390599773002016,0.0
390599773002017,0.0
390599773002018,0.0
390599773002019,0.0
390599773002020,0.0
390599773002021,86.0
390599773002022,54.0
390599773002023,0.0
390599773002024,0.0
390599773002025,0.0
390599773002026,4.0
390599773002027,0.0
390599773002028,0.0
390599773002029,0.0
390599773002030,0.0
390599773002031,0.0
390599773002032,4.0
390599773002033,0.0
390599773002034,4.0
390599773002035,0.0
390599773002036,0.0
390599773002037,0.0
390599773002038,0.0
390599773002039,0.0
390599773002040,0.0
390599773002041,0.0
390599773002042,0.0
390599773002043,0.0
390599773002044,0.0
390599773002045,0.0
390599773002046,0.0
390599773002047,4.0
390599773002048,0.0
390599773002049,0.0
390599773002050,14.0
390599773002051,0.0
390599773002052,0.0
390599773002053,18.0
390599773002054,0.0
390599773002064,21.0
390599773002065,0.0
390599773002066,0.0
390599773002067,0.0
390599773002068,0.0
390599773002069,0.0
390599773002070,0.0
390599773002071,0.0
390599773002072,0.0
390599773002073,0.0
390599773002074,0.0
390599773002075,0.0
390599773002076,0.0
390599773002077,0.0
390599773002078,16.0
390599773002079,0.0
390599773002080,0.0
390599773002081,0.0
390599773002082,0.0
390599773002083,0.0
390599773002084,0.0
390599773002085,0.0
390599773002086,0.0
390599773002087,0.0
390599773002088,0.0
390599773002089,0.0
390599773002090,0.0
390599773002091,0.0
390599773002092,0.0
390599773002093,16.0
390599773002094,0.0
390599773002095,0.0
390599773002096,0.0
390599773002097,0.0
390599773002098,0.0
390599773002099,0.0
390599773002100,0.0
390599773002101,0.0
390599773002102,0.0
390599773002103,0.0
390599773002104,4.0
390599773002105,0.0
390599773002106,0.0
390599773002107,0.0
390599773002108,0.0
390599773002109,0.0
390599773002110,0.0
390599773002111,0.0
390599773002112,0.0
390599773002113,0.0
390599773002114,0.0
390599773002115,0.0
390599773002116,4.0
390599773002117,4.0
